Name,Gender,Sport,Event,Year,City,Gold,Silver,Bronze
Norman Gilbert,M,Athletics,"Men's 200 metres hurdles,Men's 200 metres",1900,Paris,,2,
Dinkarrao Shinde,M,Wrestling,Featherweight,1920,Belgium,,,
Kumar Navale,M,Wrestling,Middleweight,1920,Belgium,,,
Purma Bannerjee,M,Athletics,"Men's 100 meters,Men's 400 meters",1920,Belgium,,,
Phadeppa Chaugule,M,Athletics,"Men's 10000 meters,Marathon",1920,Belgium,,,
Sadashiv Datar,M,Athletics,Marathon,1920,Belgium,,,
Athar Fyzee,M,Tennis,Singles,1924,Paris,,,
Syed Mohammad Hadi,M,Tennis,"Singles,Doubles",1924,Paris,,,
Sydney Jacob,M,Tennis,"Singles,Doubles",1924,Paris,,,
Mohammed Sleem,M,Tennis,"Singles,Doubles",1924,Paris,,,
Donald Rutnam,M,Tennis,Doubles,1924,Paris,,,
Nora Polley,F,Tennis,"Singles,Doubles",1924,Paris,,,
James Hall,M,Athletics,"Men's 100 meters,Men's 200 meters",1924,Paris,,,
Wilfred Hildreth,M,Athletics,"Men's 100 meters,Men's 200 meters",1924,Paris,,,
C. K. Lakshmanan,M,Athletics,Men's 110 meters Hurdles,1924,Paris,,,
Terence Pitt,M,Athletics,"Men's 100 meters,Men's 200 meters,Men's 400 meters",1924,Paris,,,
Dalip Singh,M,Athletics,Long jump,1924,Paris,,,
Mahadeo Singh,M,Athletics,Marathon,1924,Paris,,,
Pala Singh,M,Athletics,"Men's 1500 meters,Men's 5000 meters,Men's 10000 meters",1924,Paris,,,
Richard Allen,M,Hockey, men's field hockey,1928,Amsterdam,,,
Dhyan Chand,M,Hockey, men's field hockey,1928,Amsterdam,,,
Michael Gateley,M,Hockey, men's field hockey,1928,Amsterdam,,,
William Goodsir-Cullen,M,Hockey, men's field hockey,1928,Amsterdam,,,
Leslie Hammond,M,Hockey, men's field hockey,1928,Amsterdam,,,
Feroze Khan,M,Hockey, men's field hockey,1928,Amsterdam,,,
George Marthins,M,Hockey, men's field hockey,1928,Amsterdam,,,
Rex Norris,M,Hockey, men's field hockey,1928,Amsterdam,,,
Broome Pinniger,M,Hockey, men's field hockey,1928,Amsterdam,,,
Michael Rocque,M,Hockey, men's field hockey,1928,Amsterdam,,,
Frederic Seaman,M,Hockey, men's field hockey,1928,Amsterdam,,,
Ali Shaukat,M,Hockey, men's field hockey,1928,Amsterdam,,,
Jaipal Singh,M,Hockey, men's field hockey,1928,Amsterdam,1,,
Kher Singh Gill,M,Hockey, men's field hockey,1928,Amsterdam,,,
Sayed Yusuf,M,Hockey, men's field hockey,1928,Amsterdam,,,
Dalip Singh,M,Athletics,Long jump,1928,Amsterdam,,,
James Hall,M,Athletics,Men's 200 metres,1928,Amsterdam,,,
J. Murphy,M,Athletics,Men's 800 metres,1928,Amsterdam,,,
Gurbachan Singh,M,Athletics,Men's 5000 meters,1928,Amsterdam,,,
Chavan Singh,M,Athletics,Men's 10000 meters,1928,Amsterdam,,,
S. Abdul Hamid,M,Athletics,Men's 110 meters Hurdles,1928,Amsterdam,,,
Ronald Burns,M,Athletics,"Men's 100 meters,Men's 200 meters",1928,Amsterdam,,,
Richard Allen,M,Hockey,men's field hockey,1932,Los Angeles,,,
Muhammad Aslam,M,Hockey,men's field hockey,1932,Los Angeles,,,
Lal Bokhari,M,Hockey,men's field hockey,1932,Los Angeles,1,,
Frank Brewin,M,Hockey,men's field hockey,1932,Los Angeles,,,
Richard Carr,M,Hockey,men's field hockey,1932,Los Angeles,,,
Dhyan Chand,M,Hockey,men's field hockey,1932,Los Angeles,,,
Leslie Hammond,M,Hockey,men's field hockey,1932,Los Angeles,,,
Arthur Hind,M,Hockey,men's field hockey,1932,Los Angeles,,,
Sayed Jaffar,M,Hockey,men's field hockey,1932,Los Angeles,,,
Masud Minhas,M,Hockey,men's field hockey,1932,Los Angeles,,,
Broome Pinniger,M,Hockey,men's field hockey,1932,Los Angeles,,,
Gurmit Singh Kullar,M,Hockey,men's field hockey,1932,Los Angeles,,,
Roop Singh,M,Hockey,men's field hockey,1932,Los Angeles,,,
William Sullivan,M,Hockey,men's field hockey,1932,Los Angeles,,,
Carlyle Tapsell,M,Hockey,men's field hockey,1932,Los Angeles,,,
Bunno Sutton,M,Athletics,Men's 100 meters,1932,Los Angeles,,,
Ronald Vernieux,M,Athletics,"Men's 100 meters,Men's 110 meters hurdles",1932,Los Angeles,,,
Mehar Chand Dhawan,M,Athletics,Triple Jump,1932,Los Angeles,,,
Dickie Carr,M,Athletics,Men's 100 meters,1932,Los Angeles,,,
Nalin Malik,M,Aquatics,Freestyle,1932,Los Angeles,,,
Shankarrao Thorat,M,Wrestling,Men's Freestyle Wrestling,1936,Berlin,,,
Rashid Anwar,M,Wrestling,Men's Freestyle Wrestling,1936,Berlin,,,
Karam Rasul,M,Wrestling,Men's Freestyle Wrestling,1936,Berlin,,,
Zaw Weik,M,Weightlifting,Men's 75kg,1936,Berlin,,,
Richard Allen,M,Hockey,men's field hockey,1936,Berlin,,,
Dhyan Chand,M,Hockey,men's field hockey,1936,Berlin,,,
Earnest Cullen,M,Hockey,men's field hockey,1936,Berlin,,,
Ali Dara,M,Hockey,men's field hockey,1936,Berlin,,,
Lionel Emmett,M,Hockey,men's field hockey,1936,Berlin,,,
Peter Fernandes,M,Hockey,men's field hockey,1936,Berlin,1,,
Joseph Galibardy,M,Hockey,men's field hockey,1936,Berlin,,,
Mohomed Hussain,M,Hockey,men's field hockey,1936,Berlin,,,
Mohammed Jaffar,M,Hockey,men's field hockey,1936,Berlin,,,
Ahmed Sher Khan,M,Hockey,men's field hockey,1936,Berlin,,,
