name,gender,sport,event,year,city,gold,silver,bronze
Norman Gilbert,M,Athletics,"Men's 200 metres hurdles,Men's 200 metres",1900,Paris,0.0,2.0,0.0
Dinkarrao Shinde,M,Wrestling,Featherweight,1920,Belgium,0.0,0.0,0.0
Kumar Navale,M,Wrestling,Middleweight,1920,Belgium,0.0,0.0,0.0
Purma Bannerjee,M,Athletics,"Men's 100 meters,Men's 400 meters",1920,Belgium,0.0,0.0,0.0
Phadeppa Chaugule,M,Athletics,"Men's 10000 meters,Marathon",1920,Belgium,0.0,0.0,0.0
Sadashiv Datar,M,Athletics,Marathon,1920,Belgium,0.0,0.0,0.0
Athar Fyzee,M,Tennis,Singles,1924,Paris,0.0,0.0,0.0
Syed Mohammad Hadi,M,Tennis,"Singles,Doubles",1924,Paris,0.0,0.0,0.0
Sydney Jacob,M,Tennis,"Singles,Doubles",1924,Paris,0.0,0.0,0.0
Mohammed Sleem,M,Tennis,"Singles,Doubles",1924,Paris,0.0,0.0,0.0
Donald Rutnam,M,Tennis,Doubles,1924,Paris,0.0,0.0,0.0
Nora Polley,W,Tennis,"Singles,Doubles",1924,Paris,0.0,0.0,0.0
James Hall,M,Athletics,"Men's 100 meters,Men's 200 meters",1924,Paris,0.0,0.0,0.0
Wilfred Hildreth,M,Athletics,"Men's 100 meters,Men's 200 meters",1924,Paris,0.0,0.0,0.0
C. K. Lakshmanan,M,Athletics,Men's 110 meters Hurdles,1924,Paris,0.0,0.0,0.0
Terence Pitt,M,Athletics,"Men's 100 meters,Men's 200 meters,Men's 400 meters",1924,Paris,0.0,0.0,0.0
Dalip Singh,M,Athletics,Long jump,1924,Paris,0.0,0.0,0.0
Mahadeo Singh,M,Athletics,Marathon,1924,Paris,0.0,0.0,0.0
Pala Singh,M,Athletics,"Men's 1500 meters,Men's 5000 meters,Men's 10000 meters",1924,Paris,0.0,0.0,0.0
Richard Allen,M,Hockey, men's field hockey,1928,Amsterdam,0.0,0.0,0.0
Dhyan Chand,M,Hockey, men's field hockey,1928,Amsterdam,0.0,0.0,0.0
Michael Gateley,M,Hockey, men's field hockey,1928,Amsterdam,0.0,0.0,0.0
William Goodsir-Cullen,M,Hockey, men's field hockey,1928,Amsterdam,0.0,0.0,0.0
Leslie Hammond,M,Hockey, men's field hockey,1928,Amsterdam,0.0,0.0,0.0
Feroze Khan,M,Hockey, men's field hockey,1928,Amsterdam,0.0,0.0,0.0
