name,Gold,Silver,Bronze,Total
Neeraj Chopra,1.0,1.0,0.0,2.0
Norman Gilbert,0.0,2.0,0.0,2.0
Sushil Kumar,0.0,1.0,1.0,2.0
Pv Sindhu,0.0,1.0,1.0,2.0
Harmanpreet Singh,0.0,0.0,2.0,2.0
Manu Bhaker,0.0,0.0,2.0,2.0
Abhinav Bindra,1.0,0.0,0.0,1.0
Ravi Dahiya,0.0,1.0,0.0,1.0
Peter Fernandes,1.0,0.0,0.0,1.0
Rajyavardhan Singh Rathore,0.0,1.0,0.0,1.0
Saina Nehwal,0.0,0.0,1.0,1.0
Saikhom Mirabai Chanu,0.0,1.0,0.0,1.0
Sakshi Malik,0.0,0.0,1.0,1.0
Sarabjot Singh,0.0,0.0,1.0,1.0
Vasudevan Baskaran,1.0,0.0,0.0,1.0
Vijay Kumar,0.0,1.0,0.0,1.0
Vijender Singh,0.0,0.0,1.0,1.0
Mary Kom,0.0,0.0,1.0,1.0
Lovlina Borgohain,0.0,0.0,1.0,1.0
Ajit Pal Singh,0.0,0.0,1.0,1.0
Leslie Claudius,1.0,0.0,0.0,1.0
Leander Paes,0.0,0.0,1.0,1.0
Lal Bokhari,1.0,0.0,0.0,1.0
Kunwar Digvijai Singh,1.0,0.0,0.0,1.0
Khashaba Jadhav,0.0,0.0,1.0,1.0
Karnam Malleswari,0.0,0.0,1.0,1.0
Jaswant Singh Rajput,1.0,0.0,0.0,1.0
Jaman Lal Sharma,0.0,1.0,0.0,1.0
Jaipal Singh,1.0,0.0,0.0,1.0
Haripal Kaushik,1.0,0.0,0.0,1.0
Gagan Narang,0.0,0.0,1.0,1.0
Charles Cornelius,0.0,0.0,1.0,1.0
Bajrang Punia,0.0,0.0,1.0,1.0
Aman,0.0,0.0,1.0,1.0
Yogeshwar Dutt,0.0,0.0,1.0,1.0
