year,sport,Athletes,Male,Female,Gold,Silver,Bronze
1900,Athletics,1,1,0,0.0,2.0,0.0
1920,Athletics,3,3,0,0.0,0.0,0.0
1920,Wrestling,2,2,0,0.0,0.0,0.0
1924,Athletics,7,7,0,0.0,0.0,0.0
1924,Tennis,6,5,1,0.0,0.0,0.0
1928,Athletics,7,7,0,0.0,0.0,0.0
1928,Hockey,15,15,0,1.0,0.0,0.0
1932,Aquatics,1,1,0,0.0,0.0,0.0
1932,Athletics,4,4,0,0.0,0.0,0.0
1932,Hockey,15,15,0,1.0,0.0,0.0
1936,Athletics,4,4,0,0.0,0.0,0.0
1936,Hockey,19,19,0,1.0,0.0,0.0
1936,Weightlifting,1,1,0,0.0,0.0,0.0
1936,Wrestling,3,3,0,0.0,0.0,0.0
1948,Athletics,8,8,0,0.0,0.0,0.0
1948,Boxing,7,7,0,0.0,0.0,0.0
1948,Cycling,9,10,0,0.0,0.0,0.0
1948,Football,18,18,0,0.0,0.0,0.0
1948,Hockey,20,20,0,1.0,0.0,0.0
1948,Swimming,7,7,0,0.0,0.0,0.0
1948,Water Polo,11,11,0,0.0,0.0,0.0
1948,Wrestling,6,6,0,0.0,0.0,0.0
1952,Athletics,6,4,2,0.0,0.0,0.0
1952,Boxing,4,4,0,0.0,0.0,0.0
1952,Cycling,4,4,0,0.0,0.0,0.0
1952,Football,15,15,0,0.0,0.0,0.0
1952,Gymnastics,2,2,0,0.0,0.0,0.0
1952,Hockey,15,15,0,1.0,0.0,0.0
1952,Shooting,2,2,0,0.0,0.0,0.0
1952,Swimming,5,3,2,0.0,0.0,0.0
1952,Water Polo,7,7,0,0.0,0.0,0.0
1952,Weightlifting,2,2,0,0.0,0.0,0.0
1952,Wrestling,4,4,0,0.0,0.0,1.0
1956,Athletics,8,8,1,0.0,0.0,0.0
1956,Football,18,18,0,0.0,0.0,0.0
1956,Gymnastics,3,3,0,0.0,0.0,0.0
1956,Hockey,17,17,0,1.0,0.0,0.0
1956,Shooting,2,2,0,0.0,0.0,0.0
1956,Swimming,2,2,0,0.0,0.0,0.0
1956,Weightlifting,3,3,0,0.0,0.0,0.0
1956,Wrestling,7,7,0,0.0,0.0,0.0
1960,Athletics,7,10,0,0.0,0.0,0.0
1960,Football,12,12,0,0.0,0.0,0.0
1960,Hockey,13,13,0,0.0,1.0,0.0
1960,Shooting,3,3,0,0.0,0.0,0.0
1960,Weightlifting,1,1,0,0.0,0.0,0.0
1960,Wrestling,5,5,0,0.0,0.0,0.0
1964,Athletics,14,14,0,0.0,0.0,0.0
1964,Cycling,5,5,0,0.0,0.0,0.0
1964,Diving,2,1,1,0.0,0.0,0.0
1964,Gymnastics,6,6,0,0.0,0.0,0.0
1964,Hockey,17,17,0,1.0,0.0,0.0
1964,Shooting,2,2,0,0.0,0.0,0.0
1964,Weightlifting,2,2,0,0.0,0.0,0.0
1964,Wrestling,7,6,0,0.0,0.0,0.0
1968,Athletics,2,2,0,0.0,0.0,0.0
1968,Hockey,15,15,0,0.0,0.0,1.0
1968,Shooting,2,2,0,0.0,0.0,0.0
1968,Weightlifting,1,1,0,0.0,0.0,0.0
1968,Wrestling,4,4,0,0.0,0.0,0.0
1972,Athletics,8,7,1,0.0,0.0,0.0
1972,Boxing,3,3,0,0.0,0.0,0.0
1972,Hockey,15,15,0,0.0,0.0,1.0
1972,Sailing,3,3,0,0.0,0.0,0.0
1972,Shooting,4,4,0,0.0,0.0,0.0
1972,Weightlifting,1,1,0,0.0,0.0,0.0
1972,Wrestling,8,8,0,0.0,0.0,0.0
1976,Athletics,4,4,0,0.0,0.0,0.0
1976,Boxing,2,2,0,0.0,0.0,0.0
1976,Hockey,16,16,0,0.0,0.0,0.0
1976,Shooting,3,3,0,0.0,0.0,0.0
1976,Weightlifting,1,1,0,0.0,0.0,0.0
1980,Athletics,11,9,2,0.0,0.0,0.0
1980,Basketball,12,12,0,0.0,0.0,0.0
1980,Boxing,3,3,0,0.0,0.0,0.0
1980,Equestrian,4,4,0,0.0,0.0,0.0
1980,Hockey,31,15,16,1.0,0.0,0.0
1980,Shooting,4,4,0,0.0,0.0,0.0
1980,Weightlifting,2,2,0,0.0,0.0,0.0
1980,Wrestling,0,6,0,0.0,0.0,0.0
1984,Athletics,8,3,5,0.0,0.0,0.0
1984,Boxing,2,2,0,0.0,0.0,0.0
1984,Hockey,16,16,0,0.0,0.0,0.0
1984,Sailing,1,1,0,0.0,0.0,0.0
1984,Shooting,8,7,1,0.0,0.0,0.0
